"","Year","count"
"1",1937,1
"2",1940,1
"3",1941,1
"4",1942,1
"5",1946,1
"6",1951,1
"7",1952,2
"8",1953,1
"9",1954,2
"10",1955,1
"11",1956,5
"12",1959,5
"13",1960,2
"14",1962,3
"15",1964,3
"16",1965,2
"17",1967,1
"18",1968,2
"19",1969,1
"20",1970,3
"21",1971,7
"22",1972,1
"23",1973,5
"24",1974,2
"25",1975,6
"26",1976,3
"27",1977,7
"28",1978,3
"29",1979,2
"30",1980,2
"31",1981,5
"32",1982,3
"33",1983,4
"34",1984,7
"35",1985,5
"36",1986,1
"37",1987,3
"38",1988,5
"39",1989,6
"40",1990,2
"41",1991,5
"42",1992,10
"43",1993,7
"44",1994,8
"45",1995,9
"46",1996,1
"47",1997,9
"48",1998,8
"49",1999,19
"50",2000,16
"51",2001,19
"52",2002,24
"53",2003,39
"54",2004,66
"55",2005,58
"56",2006,51
"57",2007,55
"58",2008,48
"59",2009,39
"60",2010,43
"61",2011,55
"62",2012,17
"63",2013,1
"64",2014,3
"65",2015,1
